Layer name,Layer Type,IFMAP Height,IFMAP Width,Filter Height,Filter Width,Channels,Num Filter,Stride Height,Stride Width,IFMAP Source,Filter Source,PE,Dataflow
Conv1,0,224,224,7,7,3,64,2,2,-1,-1,0,is
Pool1,1,112,112,3,3,64,64,2,2,0,-1,0,os
Conv2_1a,0,56,56,3,3,64,64,1,1,1,-1,0,is
Conv2_1b,0,56,56,3,3,64,64,1,1,2,-1,0,is
Pool2_1a,1,112,56,2,1,64,64,2,1,1_3,-1,0,os
Conv2_2a,0,56,56,3,3,64,64,1,1,4,-1,0,is
Conv2_2b,0,56,56,3,3,64,64,1,1,5,-1,0,is
Pool2_2a,1,112,56,2,1,64,64,2,1,4_6,-1,0,os
Conv3_1a,0,56,56,3,3,64,128,2,2,7,-1,0,os
Conv3_1b,0,28,28,3,3,128,128,1,1,8,-1,0,os
Pool3_1a,1,56,56,2,2,64,128,2,2,7,-1,0,os
Pool3_1b,1,56,28,2,1,128,128,2,1,9_10,-1,0,os
Conv3_2a,0,28,28,3,3,128,128,1,1,11,-1,0,os
Conv3_2b,0,28,28,3,3,128,128,1,1,12,-1,0,os
Pool3_2a,1,56,28,2,1,128,128,2,1,11_13,-1,0,os
Conv4_1a,0,28,28,3,3,128,256,2,2,14,-1,0,ws
Conv4_1b,0,14,14,3,3,256,256,1,1,15,-1,0,ws
Pool4_1a,1,28,28,2,2,128,256,2,2,14,-1,0,os
Pool4_1b,1,28,14,2,1,128,128,2,1,16_17,-1,0,os
Conv4_2a,0,14,14,3,3,128,128,1,1,18,-1,0,ws
Conv4_2b,0,14,14,3,3,128,128,1,1,19,-1,0,ws
Pool4_2a,1,28,14,2,1,128,128,2,1,18_20,-1,0,os
Conv5_1a,0,14,14,3,3,512,512,2,2,21,-1,0,ws
Conv5_1b,0,7,7,3,3,512,512,1,1,22,-1,0,ws
Pool5_1a,1,14,14,2,2,128,512,2,2,21,-1,0,os
Pool5_1b,1,14,7,2,1,512,512,2,1,23_24,-1,0,os
Conv5_2a,0,7,7,3,3,512,512,1,1,25,-1,0,ws
Conv5_2b,0,7,7,3,3,512,512,1,1,26,-1,0,ws
Pool5_2a,1,14,7,2,1,512,512,2,1,25_27,-1,0,os
Pool6,1,7,7,7,7,512,512,7,7,28,-1,0,os
FC1,0,1,1,1,1,4608,1000,1,1,29,-1,0,ws
